frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,class
1,,20,897,0,1,0,0,128,6,10.2.65.98,13.67.9.5,50861,443,857,1,0,0,0,0,0,1,1,0,0,0,255,0.000000000,normal
1,,20,425,0,1,0,0,114,6,13.67.9.5,10.2.65.98,443,50861,385,858,0,0,0,0,0,1,1,0,0,0,2048,0.062789000,normal
1,,20,40,0,1,0,0,128,6,10.2.65.98,13.67.9.5,50861,443,0,386,0,0,0,0,0,1,0,0,0,0,254,0.042016000,normal
1,,20,49,0,1,0,0,128,6,127.0.0.1,127.0.0.1,49583,64871,9,1,0,0,0,0,0,1,1,0,0,0,10229,0.000000000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,64871,49583,0,10,0,0,0,0,0,1,0,0,0,0,10228,0.000057000,normal
1,,20,43,0,1,0,0,128,6,127.0.0.1,127.0.0.1,64871,49583,3,10,0,0,0,0,0,1,1,0,0,0,10228,0.001202000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,49583,64871,0,4,0,0,0,0,0,1,0,0,0,0,10229,0.000030000,normal
1,,20,160,0,1,0,0,128,6,10.2.65.98,20.42.73.27,50823,443,120,1,0,0,0,0,0,1,1,0,0,0,255,0.000000000,normal
1,,20,86,0,1,0,0,128,6,10.2.65.98,20.42.73.27,50823,443,46,1,0,0,0,0,0,1,1,0,0,0,255,0.000099000,normal
1,,20,1899,0,1,0,0,128,6,10.2.65.98,20.42.73.27,50823,443,1859,1,0,0,0,0,0,1,1,0,0,0,255,0.000043000,normal
1,,20,40,0,1,0,0,106,6,20.42.73.27,10.2.65.98,443,50823,0,167,0,0,0,0,0,1,0,0,0,0,2048,0.258193000,normal
1,,20,86,0,1,0,0,106,6,20.42.73.27,10.2.65.98,443,50823,46,167,0,0,0,0,0,1,1,0,0,0,2048,0.000000000,normal
1,,20,40,0,1,0,0,106,6,20.42.73.27,10.2.65.98,443,50823,0,1607,0,0,0,0,0,1,0,0,0,0,2048,0.000000000,normal
1,,20,40,0,1,0,0,106,6,20.42.73.27,10.2.65.98,443,50823,0,2026,0,0,0,0,0,1,0,0,0,0,2048,0.000000000,normal
1,,20,82,0,1,0,0,106,6,20.42.73.27,10.2.65.98,443,50823,42,2026,0,0,0,0,0,1,1,0,0,0,2048,0.000000000,normal
1,,20,145,0,1,0,0,106,6,20.42.73.27,10.2.65.98,443,50823,105,2026,0,0,0,0,0,1,1,0,0,0,2048,0.000000000,normal
1,,20,40,0,1,0,0,128,6,10.2.65.98,20.42.73.27,50823,443,0,194,0,0,0,0,0,1,0,0,0,0,255,0.000094000,normal
1,,20,82,0,1,0,0,128,6,10.2.65.98,20.42.73.27,50823,443,42,194,0,0,0,0,0,1,1,0,0,0,255,0.000887000,normal
1,,20,40,0,1,0,0,106,6,20.42.73.27,10.2.65.98,443,50823,0,2068,0,0,0,0,0,1,0,0,0,0,2048,0.346874000,normal
1,,20,41,0,1,0,0,128,6,10.2.65.98,142.250.195.46,50836,443,1,1,0,0,0,0,0,1,0,0,0,0,258,0.000000000,normal
1,,20,52,0,0,0,0,122,6,142.250.195.46,10.2.65.98,443,50836,0,2,0,0,0,0,0,1,0,0,0,0,973,0.021778000,normal
1,,20,41,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50230,50229,1,1,0,0,0,0,0,1,1,0,0,0,10233,0.000000000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50229,50230,0,2,0,0,0,0,0,1,0,0,0,0,10230,0.000053000,normal
1,,20,41,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50230,50229,1,1,0,0,0,0,0,1,1,0,0,0,10233,0.000505000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50229,50230,0,3,0,0,0,0,0,1,0,0,0,0,10230,0.000043000,normal
